"No.","Time","Source","Destination","Protocol","Length","Info"
"96","2.649143","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=41022 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"97","2.649143","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=42482 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"98","2.649214","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1313 Ack=43942 Win=64240 Len=0"
"99","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=43942 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"100","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=45402 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"101","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=46862 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"102","2.754187","162.243.205.13","10.192.4.47","TLSv1.2","1514","Application Data"
"103","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=49782 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"104","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=51242 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"105","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=52702 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"106","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=54162 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"107","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=55622 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"108","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=57082 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"109","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=58542 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"110","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=60002 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"111","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=61462 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"112","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=62922 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"113","2.754187","162.243.205.13","10.192.4.47","TLSv1.2","1514","Application Data"
"114","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [PSH, ACK] Seq=65842 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"115","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=67302 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"116","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=68762 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"117","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=70222 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"118","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=71682 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"119","2.754187","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=73142 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"120","2.754261","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1313 Ack=74602 Win=64240 Len=0"
"121","2.755429","162.243.205.13","10.192.4.47","TLSv1.2","927","Application Data"
"122","2.755454","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1313 Ack=75475 Win=63367 Len=0"
"123","2.760761","10.192.4.47","162.243.205.13","TLSv1.2","721","Application Data"
"124","2.871038","162.243.205.13","10.192.4.47","TLSv1.2","901","Application Data"
"125","2.912203","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1980 Ack=76322 Win=64240 Len=0"
